n=2,n=4,n=8,n=16,n=32,n=64,n=128,n=256,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768,n=65536,n=131072,n=262144,n=524288
0.5,0.75,0.875,0.8125,0.90625,0.875,0.84375,0.83203125,0.810546875,0.8125,0.802734375,0.794189453125,0.7999267578125,0.80072021484375,0.800445556640625,0.8001861572265625,0.79913330078125,0.8000221252441406,0.8004894256591797
1.0,1.0,0.75,0.75,0.75,0.71875,0.7421875,0.74609375,0.763671875,0.78515625,0.79052734375,0.790283203125,0.79541015625,0.794677734375,0.796142578125,0.7981414794921875,0.799041748046875,0.7990913391113281,0.7999515533447266
1.0,1.0,0.875,0.8125,0.8125,0.734375,0.7890625,0.79296875,0.81640625,0.8046875,0.80029296875,0.798583984375,0.796875,0.80047607421875,0.800262451171875,0.799102783203125,0.7983627319335938,0.8000068664550781,0.8000049591064453
1.0,1.0,0.875,0.75,0.78125,0.828125,0.8046875,0.81640625,0.810546875,0.8154296875,0.822265625,0.814453125,0.804443359375,0.8004150390625,0.800201416015625,0.8009490966796875,0.7987442016601562,0.7996292114257812,0.7996501922607422
1.0,1.0,0.875,0.8125,0.84375,0.859375,0.796875,0.79296875,0.80859375,0.802734375,0.81396484375,0.807861328125,0.8035888671875,0.80218505859375,0.8016357421875,0.80145263671875,0.7995986938476562,0.79986572265625,0.8001441955566406
1.0,1.0,0.75,0.75,0.75,0.765625,0.78125,0.79296875,0.81640625,0.818359375,0.7998046875,0.793701171875,0.7950439453125,0.7965087890625,0.79443359375,0.7972259521484375,0.798919677734375,0.7998390197753906,0.7997894287109375
0.5,0.75,0.75,0.75,0.71875,0.75,0.75,0.78515625,0.791015625,0.8046875,0.8095703125,0.810546875,0.8050537109375,0.80438232421875,0.801605224609375,0.8015289306640625,0.801544189453125,0.80047607421875,0.8002548217773438
1.0,0.75,0.75,0.8125,0.71875,0.765625,0.7890625,0.796875,0.796875,0.7978515625,0.79931640625,0.80615234375,0.80029296875,0.7974853515625,0.798248291015625,0.7998046875,0.7999649047851562,0.7996406555175781,0.8002185821533203
1.0,1.0,1.0,0.8125,0.8125,0.828125,0.7890625,0.79296875,0.79296875,0.7978515625,0.80078125,0.793212890625,0.80615234375,0.80389404296875,0.80072021484375,0.7997894287109375,0.7988662719726562,0.8000297546386719,0.7997608184814453
1.0,1.0,1.0,0.875,0.875,0.859375,0.8125,0.828125,0.828125,0.8115234375,0.8056640625,0.8095703125,0.811279296875,0.8079833984375,0.804718017578125,0.80010986328125,0.7995147705078125,0.7996788024902344,0.7994384765625
0.5,0.75,0.875,0.875,0.84375,0.828125,0.84375,0.8359375,0.8203125,0.798828125,0.79736328125,0.795166015625,0.798828125,0.798095703125,0.80133056640625,0.801055908203125,0.7990341186523438,0.8006820678710938,0.8008460998535156
1.0,0.75,0.875,0.9375,0.75,0.796875,0.7890625,0.78515625,0.796875,0.7841796875,0.7939453125,0.800048828125,0.80126953125,0.802978515625,0.799163818359375,0.800201416015625,0.8003005981445312,0.8004188537597656,0.800018310546875
0.5,0.5,0.5,0.5625,0.6875,0.75,0.75,0.765625,0.77734375,0.78125,0.798828125,0.798828125,0.796630859375,0.80145263671875,0.80169677734375,0.800994873046875,0.8001556396484375,0.8009147644042969,0.8002281188964844
1.0,0.75,0.625,0.625,0.71875,0.78125,0.8125,0.80078125,0.806640625,0.8056640625,0.7978515625,0.798583984375,0.796875,0.79766845703125,0.799072265625,0.8000640869140625,0.79803466796875,0.7983932495117188,0.7993659973144531
1.0,1.0,0.875,0.75,0.84375,0.828125,0.8125,0.8203125,0.828125,0.7958984375,0.79296875,0.796142578125,0.7987060546875,0.79974365234375,0.79949951171875,0.79931640625,0.7988967895507812,0.7993850708007812,0.7993335723876953
1.0,1.0,0.875,0.9375,0.84375,0.828125,0.8515625,0.85546875,0.833984375,0.8271484375,0.80615234375,0.80908203125,0.799560546875,0.79864501953125,0.80035400390625,0.8007354736328125,0.8018264770507812,0.8011932373046875,0.8002090454101562
1.0,1.0,0.75,0.6875,0.6875,0.71875,0.7734375,0.7890625,0.791015625,0.7958984375,0.798828125,0.8056640625,0.79736328125,0.79638671875,0.8001708984375,0.8015289306640625,0.7997512817382812,0.8004798889160156,0.8002204895019531
1.0,1.0,0.875,0.875,0.875,0.84375,0.8046875,0.75,0.783203125,0.8076171875,0.8125,0.8095703125,0.8070068359375,0.801025390625,0.802337646484375,0.7994537353515625,0.7992630004882812,0.8005180358886719,0.799468994140625
1.0,0.75,0.875,0.8125,0.875,0.828125,0.828125,0.828125,0.810546875,0.8125,0.80322265625,0.81005859375,0.8060302734375,0.80145263671875,0.80035400390625,0.8002777099609375,0.8012847900390625,0.8012580871582031,0.8001613616943359
0.5,0.75,0.5,0.6875,0.8125,0.828125,0.8125,0.796875,0.787109375,0.8056640625,0.79931640625,0.794921875,0.7977294921875,0.80072021484375,0.80230712890625,0.8015899658203125,0.8006591796875,0.7989997863769531,0.7996845245361328
0.5,0.75,0.875,0.8125,0.78125,0.84375,0.8203125,0.80859375,0.798828125,0.7900390625,0.79150390625,0.8017578125,0.8026123046875,0.803955078125,0.8017578125,0.8024139404296875,0.8023605346679688,0.8009033203125,0.8003978729248047
1.0,1.0,0.875,0.9375,0.875,0.828125,0.7890625,0.77734375,0.794921875,0.78125,0.791015625,0.7939453125,0.793212890625,0.79217529296875,0.798370361328125,0.797821044921875,0.7985763549804688,0.7989845275878906,0.8002681732177734
