n=2,n=4,n=8,n=16,n=32,n=64,n=128,n=256,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768,n=65536,n=131072,n=262144,n=524288
0.5,0.25,0.125,0.375,0.25,0.1875,0.171875,0.109375,0.095703125,0.0869140625,0.072265625,0.068359375,0.0576171875,0.050048828125,0.043701171875,0.0375213623046875,0.03287506103515625,0.028743743896484375,0.024755477905273438
0.0,0.0,0.125,0.0625,0.09375,0.0625,0.109375,0.0859375,0.060546875,0.0556640625,0.0517578125,0.0498046875,0.0445556640625,0.03936767578125,0.033355712890625,0.0286865234375,0.02460479736328125,0.021671295166015625,0.018798828125
0.0,0.0,0.125,0.125,0.0625,0.078125,0.0625,0.03515625,0.041015625,0.0419921875,0.03466796875,0.02685546875,0.02197265625,0.01885986328125,0.01654052734375,0.01470947265625,0.01259613037109375,0.010913848876953125,0.009708404541015625
0.0,0.0,0.125,0.25,0.28125,0.296875,0.2578125,0.2421875,0.197265625,0.166015625,0.15673828125,0.13818359375,0.1185302734375,0.10260009765625,0.08917236328125,0.0770111083984375,0.067535400390625,0.0589752197265625,0.05146217346191406
0.5,0.25,0.375,0.1875,0.1875,0.1875,0.171875,0.13671875,0.099609375,0.08203125,0.06787109375,0.059326171875,0.052734375,0.044677734375,0.03900146484375,0.0341033935546875,0.03015899658203125,0.026409149169921875,0.023088455200195312
0.0,0.0,0.25,0.125,0.125,0.125,0.109375,0.109375,0.115234375,0.107421875,0.095703125,0.0947265625,0.0771484375,0.06622314453125,0.058807373046875,0.0514373779296875,0.0456085205078125,0.040355682373046875,0.035045623779296875
0.0,0.0,0.125,0.1875,0.25,0.21875,0.1875,0.16015625,0.146484375,0.1533203125,0.13818359375,0.114501953125,0.0985107421875,0.0814208984375,0.071075439453125,0.0627288818359375,0.05469512939453125,0.047969818115234375,0.04185676574707031
0.0,0.25,0.25,0.1875,0.15625,0.125,0.125,0.12890625,0.1015625,0.087890625,0.078125,0.0771484375,0.0657958984375,0.05609130859375,0.047760009765625,0.0415802001953125,0.0366668701171875,0.031826019287109375,0.027677536010742188
0.0,0.25,0.25,0.3125,0.28125,0.25,0.203125,0.19140625,0.15625,0.1455078125,0.1396484375,0.111328125,0.0955810546875,0.0853271484375,0.0733642578125,0.0622406005859375,0.0537261962890625,0.046085357666015625,0.04025077819824219
0.0,0.5,0.25,0.25,0.21875,0.171875,0.140625,0.13671875,0.1171875,0.1064453125,0.09521484375,0.078857421875,0.0703125,0.060546875,0.053253173828125,0.0457305908203125,0.0391998291015625,0.034229278564453125,0.029745101928710938
0.0,0.0,0.0,0.0,0.03125,0.046875,0.03125,0.03515625,0.033203125,0.0224609375,0.0205078125,0.019287109375,0.0162353515625,0.0159912109375,0.014373779296875,0.0125579833984375,0.01055908203125,0.00913238525390625,0.0080108642578125
0.0,0.0,0.125,0.0625,0.09375,0.09375,0.0703125,0.05859375,0.044921875,0.0419921875,0.03955078125,0.037353515625,0.0302734375,0.02783203125,0.024658203125,0.0217742919921875,0.0189666748046875,0.01618194580078125,0.014410018920898438
0.0,0.0,0.125,0.0625,0.1875,0.21875,0.1875,0.14453125,0.12890625,0.1103515625,0.09765625,0.081787109375,0.07080078125,0.064208984375,0.055694580078125,0.0479888916015625,0.04152679443359375,0.03571319580078125,0.03130531311035156
0.5,0.5,0.375,0.375,0.28125,0.28125,0.203125,0.22265625,0.208984375,0.1767578125,0.16796875,0.1435546875,0.121826171875,0.10723876953125,0.09368896484375,0.08221435546875,0.071044921875,0.062221527099609375,0.05399322509765625
0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0546875,0.0546875,0.0556640625,0.0537109375,0.044921875,0.038818359375,0.032470703125,0.027313232421875,0.023345947265625,0.020233154296875,0.0176544189453125,0.015478134155273438
0.0,0.25,0.25,0.125,0.09375,0.078125,0.1171875,0.12109375,0.126953125,0.111328125,0.10498046875,0.0859375,0.0740966796875,0.064453125,0.053985595703125,0.0485992431640625,0.04236602783203125,0.0364990234375,0.03166770935058594
0.0,0.0,0.0,0.0625,0.09375,0.078125,0.125,0.09375,0.064453125,0.0595703125,0.052734375,0.048583984375,0.039794921875,0.03717041015625,0.032623291015625,0.027740478515625,0.02405548095703125,0.020603179931640625,0.0178985595703125
0.0,0.25,0.25,0.125,0.15625,0.171875,0.140625,0.1328125,0.103515625,0.091796875,0.08203125,0.072265625,0.0595703125,0.05084228515625,0.044830322265625,0.0390472412109375,0.0337066650390625,0.029449462890625,0.025440216064453125
0.0,0.0,0.125,0.125,0.125,0.109375,0.0859375,0.1015625,0.076171875,0.064453125,0.0634765625,0.056640625,0.0477294921875,0.0421142578125,0.03826904296875,0.0343780517578125,0.03015899658203125,0.02646636962890625,0.022861480712890625
0.5,0.25,0.125,0.125,0.15625,0.125,0.0859375,0.06640625,0.064453125,0.0498046875,0.04296875,0.03759765625,0.0318603515625,0.02886962890625,0.024505615234375,0.0213775634765625,0.0186309814453125,0.0163726806640625,0.014261245727539062
0.0,0.0,0.125,0.125,0.0625,0.0625,0.0703125,0.07421875,0.05859375,0.046875,0.0439453125,0.040283203125,0.0379638671875,0.0322265625,0.02862548828125,0.02471923828125,0.02088165283203125,0.01824188232421875,0.0158843994140625
0.0,0.0,0.125,0.125,0.09375,0.0625,0.0546875,0.0546875,0.068359375,0.0595703125,0.0556640625,0.046875,0.0406494140625,0.03399658203125,0.029083251953125,0.0258636474609375,0.0225830078125,0.0197906494140625,0.017198562622070312
0.0,0.25,0.25,0.375,0.34375,0.328125,0.265625,0.234375,0.18359375,0.1669921875,0.140625,0.1259765625,0.1160888671875,0.10357666015625,0.09014892578125,0.07763671875,0.068267822265625,0.06014251708984375,0.05242919921875
0.0,0.0,0.125,0.1875,0.125,0.140625,0.109375,0.109375,0.095703125,0.078125,0.06884765625,0.056640625,0.04833984375,0.04327392578125,0.037811279296875,0.031768798828125,0.02767181396484375,0.023479461669921875,0.020656585693359375
0.0,0.25,0.125,0.25,0.1875,0.21875,0.2265625,0.203125,0.177734375,0.142578125,0.1201171875,0.10888671875,0.096923828125,0.0819091796875,0.072509765625,0.0630950927734375,0.0548858642578125,0.047351837158203125,0.041934967041015625
0.5,0.25,0.25,0.25,0.1875,0.203125,0.1640625,0.15625,0.15625,0.140625,0.11865234375,0.103271484375,0.08740234375,0.07354736328125,0.06365966796875,0.0555267333984375,0.04930877685546875,0.043491363525390625,0.03777885437011719
0.5,0.25,0.125,0.125,0.125,0.09375,0.078125,0.08203125,0.060546875,0.0654296875,0.05712890625,0.05078125,0.04150390625,0.03778076171875,0.032196044921875,0.028411865234375,0.024322509765625,0.02132415771484375,0.018505096435546875
0.0,0.25,0.25,0.375,0.28125,0.21875,0.171875,0.1328125,0.12109375,0.09375,0.07763671875,0.064453125,0.0565185546875,0.04974365234375,0.042755126953125,0.03643798828125,0.03174591064453125,0.02759552001953125,0.023923873901367188
0.0,0.0,0.125,0.1875,0.09375,0.109375,0.1015625,0.09375,0.083984375,0.072265625,0.06103515625,0.048828125,0.04248046875,0.03717041015625,0.032257080078125,0.029296875,0.02508544921875,0.022167205810546875,0.019342422485351562
0.5,0.5,0.375,0.3125,0.375,0.390625,0.3828125,0.31640625,0.2734375,0.2314453125,0.19384765625,0.1640625,0.1427001953125,0.1273193359375,0.111602783203125,0.097137451171875,0.0850830078125,0.07387161254882812,0.06436920166015625
0.0,0.0,0.0,0.0,0.0625,0.046875,0.0625,0.0546875,0.048828125,0.048828125,0.037109375,0.032958984375,0.031005859375,0.02734375,0.024383544921875,0.0216522216796875,0.0183563232421875,0.015613555908203125,0.013692855834960938
0.0,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.02734375,0.029296875,0.021484375,0.01806640625,0.016845703125,0.01513671875,0.01300048828125,0.01123046875,0.0099945068359375,0.00847625732421875,0.007358551025390625,0.006381988525390625
0.0,0.0,0.25,0.1875,0.15625,0.140625,0.15625,0.15234375,0.154296875,0.1337890625,0.115234375,0.095458984375,0.0848388671875,0.0745849609375,0.06396484375,0.054107666015625,0.047271728515625,0.0407257080078125,0.03550910949707031
0.0,0.0,0.0,0.125,0.125,0.09375,0.078125,0.06640625,0.048828125,0.0400390625,0.03369140625,0.029052734375,0.0264892578125,0.02386474609375,0.0206298828125,0.018157958984375,0.016510009765625,0.0141143798828125,0.012241363525390625
0.5,0.5,0.25,0.3125,0.28125,0.25,0.1875,0.14453125,0.134765625,0.0966796875,0.0830078125,0.073974609375,0.064453125,0.0599365234375,0.052764892578125,0.045806884765625,0.0389404296875,0.034000396728515625,0.0299072265625
0.0,0.0,0.0,0.125,0.09375,0.078125,0.0546875,0.05859375,0.056640625,0.041015625,0.037109375,0.03076171875,0.02392578125,0.02154541015625,0.018707275390625,0.0166015625,0.01450347900390625,0.012874603271484375,0.011310577392578125
0.0,0.0,0.125,0.125,0.125,0.109375,0.09375,0.09765625,0.0859375,0.0693359375,0.06103515625,0.0537109375,0.049072265625,0.04364013671875,0.036956787109375,0.032135009765625,0.02800750732421875,0.024341583251953125,0.020975112915039062
0.0,0.0,0.125,0.125,0.125,0.140625,0.109375,0.08203125,0.076171875,0.0712890625,0.056640625,0.046630859375,0.040771484375,0.03485107421875,0.030059814453125,0.026947021484375,0.0231475830078125,0.020351409912109375,0.017576217651367188
0.0,0.25,0.25,0.25,0.21875,0.28125,0.2578125,0.23828125,0.1953125,0.169921875,0.15478515625,0.125244140625,0.10986328125,0.0965576171875,0.087860107421875,0.0771331787109375,0.06719970703125,0.058307647705078125,0.05055809020996094
