theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|6,num_1|1|1|1|1|2|2|3,num_1|1|1|1|1|2|5,num_1|1|1|1|1|3|4,num_1|1|1|1|1|7,num_1|1|1|1|2|2|2|2,num_1|1|1|1|2|2|4,num_1|1|1|1|2|3|3,num_1|1|1|1|2|6,num_1|1|1|1|3|5,num_1|1|1|1|4|4,num_1|1|1|1|8,num_1|1|1|2|2|2|3,num_1|1|1|2|2|5,num_1|1|1|2|3|4,num_1|1|1|2|7,num_1|1|1|3|3|3,num_1|1|1|3|6,num_1|1|1|4|5,num_1|1|1|9,num_1|1|2|2|2|2|2,num_1|1|2|2|2|4,num_1|1|2|2|3|3,num_1|1|2|2|6,num_1|1|2|3|5,num_1|1|2|4|4,num_1|1|2|8,num_1|1|3|3|4,num_1|1|3|7,num_1|1|4|6,num_1|1|5|5,num_1|1|10,num_1|2|2|2|2|3,num_1|2|2|2|5,num_1|2|2|3|4,num_1|2|2|7,num_1|2|3|3|3,num_1|2|3|6,num_1|2|4|5,num_1|2|9,num_1|3|3|5,num_1|3|4|4,num_1|3|8,num_1|4|7,num_1|5|6,num_1|11,num_2|2|2|2|2|2,num_2|2|2|2|4,num_2|2|2|3|3,num_2|2|2|6,num_2|2|3|5,num_2|2|4|4,num_2|2|8,num_2|3|3|4,num_2|3|7,num_2|4|6,num_2|5|5,num_2|10,num_3|3|3|3,num_3|3|6,num_3|4|5,num_3|9,num_4|4|4,num_4|8,num_5|7,num_6|6,num_12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,66,0,1,3,2,6,4,10,3,7,6,15,5,11,9,21,4,8,7,16,13,12,28,6,12,10,22,9,18,16,36,5,9,8,17,14,13,29,12,24,21,20,45,7,13,11,23,10,19,17,37,16,15,31,27,25,55,6,10,9,18,15,14,30,13,25,22,21,46,12,21,19,39,18,34,31,30,66
2,2,66,66,65,63,64,60,62,56,63,59,60,51,61,55,57,45,62,58,59,50,53,54,38,60,54,56,44,57,48,50,30,61,57,58,49,52,53,37,54,42,45,46,21,59,53,55,43,56,47,49,29,50,51,35,39,41,11,60,56,57,48,51,52,36,53,41,44,45,20,54,45,47,27,48,32,35,36,0
3,1,220,0,0,1,0,4,1,10,0,4,2,20,1,10,5,35,0,4,2,20,11,8,56,1,10,5,35,3,21,14,84,0,4,2,20,11,8,56,6,36,24,20,120,1,10,5,35,3,21,14,84,12,9,57,39,30,165,0,4,2,20,11,8,56,6,36,24,20,120,4,22,15,85,12,60,45,40,220
3,2,220,0,10,27,20,48,37,70,30,58,54,90,47,80,75,105,40,68,64,100,97,96,112,57,90,85,115,81,117,118,108,50,78,74,110,107,106,122,102,132,138,140,90,67,100,95,125,91,127,128,118,124,123,139,153,160,55,60,88,84,120,117,116,132,112,142,148,150,100,108,144,145,135,144,160,175,180,0
3,3,220,220,210,192,200,168,182,140,190,158,164,110,172,130,140,80,180,148,154,100,112,116,52,162,120,130,70,136,82,88,28,170,138,144,90,102,106,42,112,52,58,60,10,152,110,120,60,126,72,78,18,84,88,24,28,30,0,160,128,134,80,92,96,32,102,42,48,50,0,108,54,60,0,64,0,0,0,0
4,1,495,0,0,0,0,1,0,5,0,1,0,15,0,5,1,35,0,1,0,15,5,2,70,0,5,1,35,0,15,6,126,0,1,0,15,5,2,70,1,35,16,10,210,0,5,1,35,0,15,6,126,5,2,70,36,20,330,0,1,0,15,5,2,70,1,35,16,10,210,0,15,6,126,3,71,40,30,495
4,2,495,0,0,9,1,32,12,70,3,38,27,120,16,80,59,175,6,45,33,135,109,100,224,21,91,68,196,54,174,162,252,10,53,40,151,122,112,252,95,247,242,240,240,27,103,78,218,63,192,178,288,157,145,317,333,340,165,15,62,48,168,136,125,281,107,271,263,260,285,90,237,219,369,204,424,455,465,0
4,3,495,0,45,108,88,168,147,210,129,201,198,225,184,235,240,210,168,232,231,240,258,264,168,219,258,267,213,270,243,258,108,205,261,262,253,277,285,157,294,192,213,220,45,252,279,292,214,297,252,271,81,288,300,108,126,135,0,240,288,291,264,294,304,144,315,189,216,225,0,324,243,270,0,288,0,0,0,0
4,4,495,495,450,378,406,294,336,210,363,255,270,135,295,175,195,75,321,217,231,105,123,129,33,255,141,159,51,171,63,69,9,280,180,193,76,91,96,16,105,21,24,25,0,216,108,124,28,135,36,40,0,45,48,0,0,0,0,240,144,156,48,60,64,0,72,0,0,0,0,81,0,0,0,0,0,0,0,0
5,1,792,0,0,0,0,0,0,1,0,0,0,6,0,1,0,21,0,0,0,6,1,0,56,0,1,0,21,0,6,1,126,0,0,0,6,1,0,56,0,21,6,2,252,0,1,0,21,0,6,1,126,1,0,56,21,7,462,0,0,0,6,1,0,56,0,21,6,2,252,0,6,1,126,0,56,22,12,792
5,2,792,0,0,0,0,8,1,35,0,12,6,90,2,45,26,175,0,16,8,110,75,64,280,3,55,31,210,18,165,143,378,0,20,10,130,86,72,336,50,301,278,270,420,4,65,36,245,21,186,157,462,121,100,476,477,475,330,0,24,12,150,97,80,392,56,337,302,290,540,36,246,201,666,168,736,770,780,0
5,3,792,0,0,36,8,112,56,210,24,144,120,300,84,250,220,350,48,184,160,340,326,320,336,120,298,272,378,252,396,402,252,80,232,208,388,386,384,336,376,386,412,420,120,164,354,332,414,312,456,474,204,490,500,260,294,310,0,120,288,264,444,454,456,344,448,434,484,500,0,432,540,590,0,624,0,0,0,0
5,4,792,0,120,252,224,336,329,350,312,380,390,300,390,360,390,210,384,408,424,280,322,336,112,435,354,391,169,414,207,226,36,440,420,442,244,289,304,64,330,84,96,100,0,464,332,376,112,405,144,160,0,180,192,0,0,0,0,480,416,444,192,240,256,0,288,0,0,0,0,324,0,0,0,0,0,0,0,0
5,5,792,792,672,504,560,336,406,196,456,256,276,96,316,136,156,36,360,184,200,56,68,72,8,234,84,98,14,108,18,20,0,272,120,132,24,30,32,0,36,0,0,0,0,160,40,48,0,54,0,0,0,0,0,0,0,0,0,192,64,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,924,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,28,0,0,0,7,0,1,0,84,0,0,0,1,0,0,28,0,7,1,0,210,0,0,0,7,0,1,0,84,0,0,28,7,1,462,0,0,0,1,0,0,28,0,7,1,0,210,0,1,0,84,0,28,7,2,924
6,2,924,0,0,0,0,0,0,7,0,1,1,36,0,12,7,105,0,2,1,51,32,28,224,0,17,8,140,3,101,87,378,0,3,1,66,37,30,294,15,245,221,214,504,0,22,9,175,3,116,93,504,58,42,490,476,468,462,0,4,1,81,42,32,364,16,280,237,224,714,6,167,119,840,84,896,917,922,0
6,3,924,0,0,0,0,28,7,105,1,51,36,225,17,150,115,350,4,80,59,290,250,236,420,31,205,163,420,135,405,393,378,10,116,88,370,332,318,462,292,497,508,510,210,50,271,220,511,183,522,521,336,521,518,406,441,455,0,20,160,124,466,427,412,532,374,637,686,700,0,324,756,805,0,840,0,0,0,0
6,4,924,0,0,84,28,224,140,350,81,290,265,400,215,400,390,350,156,366,350,410,434,440,224,306,448,458,308,462,354,374,84,250,449,445,403,450,464,140,491,175,194,200,0,410,491,527,231,549,285,310,0,345,364,0,0,0,0,360,536,547,376,455,480,0,534,0,0,0,0,594,0,0,0,0,0,0,0,0
6,5,924,0,210,378,364,420,455,350,465,425,450,225,485,305,345,105,516,392,421,160,193,204,28,471,234,271,49,297,63,70,0,520,324,354,84,105,112,0,126,0,0,0,0,416,140,168,0,189,0,0,0,0,0,0,0,0,0,480,224,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,924,924,714,462,532,252,322,112,377,157,172,37,207,57,67,7,248,84,93,12,15,16,0,116,20,24,0,27,0,0,0,144,32,36,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,36,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,1,0,0,0,36,0,0,8,1,0,330,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,36,0,8,1,0,792
7,2,792,0,0,0,0,0,0,0,0,0,0,6,0,1,1,35,0,0,0,12,8,8,112,0,2,1,56,0,39,36,252,0,0,0,18,9,8,168,2,133,122,120,420,0,3,1,77,0,45,37,378,16,10,350,336,331,462,0,0,0,24,10,8,224,2,154,128,122,672,0,72,45,756,24,784,791,792,0
7,3,792,0,0,0,0,0,0,21,0,6,6,90,1,45,35,210,0,16,12,144,118,112,336,3,79,59,294,45,267,255,378,0,30,20,218,182,172,420,148,427,424,422,252,6,123,88,413,63,396,385,378,371,362,434,455,461,0,0,48,30,312,257,240,560,196,637,664,670,0,144,720,747,0,768,0,0,0,0
