theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|1|6,num_1|1|1|1|1|1|2|2|3,num_1|1|1|1|1|1|2|5,num_1|1|1|1|1|1|3|4,num_1|1|1|1|1|1|7,num_1|1|1|1|1|2|2|2|2,num_1|1|1|1|1|2|2|4,num_1|1|1|1|1|2|3|3,num_1|1|1|1|1|2|6,num_1|1|1|1|1|3|5,num_1|1|1|1|1|4|4,num_1|1|1|1|1|8,num_1|1|1|1|2|2|2|3,num_1|1|1|1|2|2|5,num_1|1|1|1|2|3|4,num_1|1|1|1|2|7,num_1|1|1|1|3|3|3,num_1|1|1|1|3|6,num_1|1|1|1|4|5,num_1|1|1|1|9,num_1|1|1|2|2|2|2|2,num_1|1|1|2|2|2|4,num_1|1|1|2|2|3|3,num_1|1|1|2|2|6,num_1|1|1|2|3|5,num_1|1|1|2|4|4,num_1|1|1|2|8,num_1|1|1|3|3|4,num_1|1|1|3|7,num_1|1|1|4|6,num_1|1|1|5|5,num_1|1|1|10,num_1|1|2|2|2|2|3,num_1|1|2|2|2|5,num_1|1|2|2|3|4,num_1|1|2|2|7,num_1|1|2|3|3|3,num_1|1|2|3|6,num_1|1|2|4|5,num_1|1|2|9,num_1|1|3|3|5,num_1|1|3|4|4,num_1|1|3|8,num_1|1|4|7,num_1|1|5|6,num_1|1|11,num_1|2|2|2|2|2|2,num_1|2|2|2|2|4,num_1|2|2|2|3|3,num_1|2|2|2|6,num_1|2|2|3|5,num_1|2|2|4|4,num_1|2|2|8,num_1|2|3|3|4,num_1|2|3|7,num_1|2|4|6,num_1|2|5|5,num_1|2|10,num_1|3|3|3|3,num_1|3|3|6,num_1|3|4|5,num_1|3|9,num_1|4|4|4,num_1|4|8,num_1|5|7,num_1|6|6,num_1|12,num_2|2|2|2|2|3,num_2|2|2|2|5,num_2|2|2|3|4,num_2|2|2|7,num_2|2|3|3|3,num_2|2|3|6,num_2|2|4|5,num_2|2|9,num_2|3|3|5,num_2|3|4|4,num_2|3|8,num_2|4|7,num_2|5|6,num_2|11,num_3|3|3|4,num_3|3|7,num_3|4|6,num_3|5|5,num_3|10,num_4|4|5,num_4|9,num_5|8,num_6|7,num_13
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,78,0,1,3,2,6,4,10,3,7,6,15,5,11,9,21,4,8,7,16,13,12,28,6,12,10,22,9,18,16,36,5,9,8,17,14,13,29,12,24,21,20,45,7,13,11,23,10,19,17,37,16,15,31,27,25,55,6,10,9,18,15,14,30,13,25,22,21,46,12,21,19,39,18,34,31,30,66,8,14,12,24,11,20,18,38,17,16,32,28,26,56,15,27,24,23,48,22,42,38,36,78
2,2,78,78,77,75,76,72,74,68,75,71,72,63,73,67,69,57,74,70,71,62,65,66,50,72,66,68,56,69,60,62,42,73,69,70,61,64,65,49,66,54,57,58,33,71,65,67,55,68,59,61,41,62,63,47,51,53,23,72,68,69,60,63,64,48,65,53,56,57,32,66,57,59,39,60,44,47,48,12,70,64,66,54,67,58,60,40,61,62,46,50,52,22,63,51,54,55,30,56,36,40,42,0
3,1,286,0,0,1,0,4,1,10,0,4,2,20,1,10,5,35,0,4,2,20,11,8,56,1,10,5,35,3,21,14,84,0,4,2,20,11,8,56,6,36,24,20,120,1,10,5,35,3,21,14,84,12,9,57,39,30,165,0,4,2,20,11,8,56,6,36,24,20,120,4,22,15,85,12,60,45,40,220,1,10,5,35,3,21,14,84,12,9,57,39,30,165,7,37,25,21,121,18,88,66,55,286
3,2,286,0,11,30,22,54,41,80,33,65,60,105,52,91,84,126,44,76,71,116,110,108,140,63,102,95,137,90,135,134,144,55,87,82,127,121,119,151,114,156,159,160,135,74,113,106,148,101,146,145,155,140,138,170,180,185,110,66,98,93,138,132,130,162,125,167,170,171,146,120,165,164,174,162,194,206,210,66,85,124,117,159,112,157,156,166,151,149,181,191,196,121,144,186,189,190,165,188,198,220,231,0
3,3,286,286,275,255,264,228,244,196,253,217,224,161,233,185,197,125,242,206,213,150,165,170,90,222,174,186,114,193,130,138,58,231,195,202,139,154,159,79,166,94,103,106,31,211,163,175,103,182,119,127,47,134,139,59,67,71,11,220,184,191,128,143,148,68,155,83,92,95,20,162,99,107,27,112,32,35,36,0,200,152,164,92,171,108,116,36,123,128,48,56,60,0,135,63,72,75,0,80,0,0,0,0
4,1,715,0,0,0,0,1,0,5,0,1,0,15,0,5,1,35,0,1,0,15,5,2,70,0,5,1,35,0,15,6,126,0,1,0,15,5,2,70,1,35,16,10,210,0,5,1,35,0,15,6,126,5,2,70,36,20,330,0,1,0,15,5,2,70,1,35,16,10,210,0,15,6,126,3,71,40,30,495,0,5,1,35,0,15,6,126,5,2,70,36,20,330,1,35,16,10,210,7,127,75,50,715
4,2,715,0,0,10,1,36,13,80,3,42,29,140,17,90,64,210,6,49,35,155,120,108,280,22,101,73,231,57,195,176,336,10,57,42,171,133,120,308,101,283,266,260,360,28,113,83,253,66,213,192,372,169,154,374,372,370,330,15,66,50,188,147,133,337,113,307,287,280,405,94,259,234,454,216,484,500,505,220,35,126,94,276,76,232,209,409,185,169,405,399,395,385,147,365,339,330,505,308,588,640,665,0
4,3,715,0,55,135,108,216,184,280,159,259,252,315,231,315,315,315,208,300,295,340,355,360,280,276,348,352,328,351,360,376,216,255,339,336,363,384,391,279,396,324,351,360,135,319,379,387,339,388,379,399,199,412,423,247,279,295,55,300,376,375,384,411,420,276,427,331,364,375,100,432,387,415,135,432,160,175,180,0,360,408,420,348,423,396,420,180,435,448,240,280,300,0,459,315,360,375,0,400,0,0,0,0
4,4,715,715,660,570,606,462,518,350,553,413,434,245,467,305,335,155,501,365,385,205,235,245,85,417,261,289,121,307,145,157,37,450,318,337,166,193,202,58,217,73,82,85,10,368,218,244,88,261,108,118,18,129,136,24,28,30,0,400,272,290,128,152,160,32,174,42,48,50,0,189,54,60,0,64,0,0,0,0,320,176,200,56,216,72,80,0,90,96,0,0,0,0,108,0,0,0,0,0,0,0,0,0
