theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|1|1|1|1|6,num_1|1|1|1|1|1|1|1|1|2|2|3,num_1|1|1|1|1|1|1|1|1|2|5,num_1|1|1|1|1|1|1|1|1|3|4,num_1|1|1|1|1|1|1|1|1|7,num_1|1|1|1|1|1|1|1|2|2|2|2,num_1|1|1|1|1|1|1|1|2|2|4,num_1|1|1|1|1|1|1|1|2|3|3,num_1|1|1|1|1|1|1|1|2|6,num_1|1|1|1|1|1|1|1|3|5,num_1|1|1|1|1|1|1|1|4|4,num_1|1|1|1|1|1|1|1|8,num_1|1|1|1|1|1|1|2|2|2|3,num_1|1|1|1|1|1|1|2|2|5,num_1|1|1|1|1|1|1|2|3|4,num_1|1|1|1|1|1|1|2|7,num_1|1|1|1|1|1|1|3|3|3,num_1|1|1|1|1|1|1|3|6,num_1|1|1|1|1|1|1|4|5,num_1|1|1|1|1|1|1|9,num_1|1|1|1|1|1|2|2|2|2|2,num_1|1|1|1|1|1|2|2|2|4,num_1|1|1|1|1|1|2|2|3|3,num_1|1|1|1|1|1|2|2|6,num_1|1|1|1|1|1|2|3|5,num_1|1|1|1|1|1|2|4|4,num_1|1|1|1|1|1|2|8,num_1|1|1|1|1|1|3|3|4,num_1|1|1|1|1|1|3|7,num_1|1|1|1|1|1|4|6,num_1|1|1|1|1|1|5|5,num_1|1|1|1|1|1|10,num_1|1|1|1|1|2|2|2|2|3,num_1|1|1|1|1|2|2|2|5,num_1|1|1|1|1|2|2|3|4,num_1|1|1|1|1|2|2|7,num_1|1|1|1|1|2|3|3|3,num_1|1|1|1|1|2|3|6,num_1|1|1|1|1|2|4|5,num_1|1|1|1|1|2|9,num_1|1|1|1|1|3|3|5,num_1|1|1|1|1|3|4|4,num_1|1|1|1|1|3|8,num_1|1|1|1|1|4|7,num_1|1|1|1|1|5|6,num_1|1|1|1|1|11,num_1|1|1|1|2|2|2|2|2|2,num_1|1|1|1|2|2|2|2|4,num_1|1|1|1|2|2|2|3|3,num_1|1|1|1|2|2|2|6,num_1|1|1|1|2|2|3|5,num_1|1|1|1|2|2|4|4,num_1|1|1|1|2|2|8,num_1|1|1|1|2|3|3|4,num_1|1|1|1|2|3|7,num_1|1|1|1|2|4|6,num_1|1|1|1|2|5|5,num_1|1|1|1|2|10,num_1|1|1|1|3|3|3|3,num_1|1|1|1|3|3|6,num_1|1|1|1|3|4|5,num_1|1|1|1|3|9,num_1|1|1|1|4|4|4,num_1|1|1|1|4|8,num_1|1|1|1|5|7,num_1|1|1|1|6|6,num_1|1|1|1|12,num_1|1|1|2|2|2|2|2|3,num_1|1|1|2|2|2|2|5,num_1|1|1|2|2|2|3|4,num_1|1|1|2|2|2|7,num_1|1|1|2|2|3|3|3,num_1|1|1|2|2|3|6,num_1|1|1|2|2|4|5,num_1|1|1|2|2|9,num_1|1|1|2|3|3|5,num_1|1|1|2|3|4|4,num_1|1|1|2|3|8,num_1|1|1|2|4|7,num_1|1|1|2|5|6,num_1|1|1|2|11,num_1|1|1|3|3|3|4,num_1|1|1|3|3|7,num_1|1|1|3|4|6,num_1|1|1|3|5|5,num_1|1|1|3|10,num_1|1|1|4|4|5,num_1|1|1|4|9,num_1|1|1|5|8,num_1|1|1|6|7,num_1|1|1|13,num_1|1|2|2|2|2|2|2|2,num_1|1|2|2|2|2|2|4,num_1|1|2|2|2|2|3|3,num_1|1|2|2|2|2|6,num_1|1|2|2|2|3|5,num_1|1|2|2|2|4|4,num_1|1|2|2|2|8,num_1|1|2|2|3|3|4,num_1|1|2|2|3|7,num_1|1|2|2|4|6,num_1|1|2|2|5|5,num_1|1|2|2|10,num_1|1|2|3|3|3|3,num_1|1|2|3|3|6,num_1|1|2|3|4|5,num_1|1|2|3|9,num_1|1|2|4|4|4,num_1|1|2|4|8,num_1|1|2|5|7,num_1|1|2|6|6,num_1|1|2|12,num_1|1|3|3|3|5,num_1|1|3|3|4|4,num_1|1|3|3|8,num_1|1|3|4|7,num_1|1|3|5|6,num_1|1|3|11,num_1|1|4|4|6,num_1|1|4|5|5,num_1|1|4|10,num_1|1|5|9,num_1|1|6|8,num_1|1|7|7,num_1|1|14,num_1|2|2|2|2|2|2|3,num_1|2|2|2|2|2|5,num_1|2|2|2|2|3|4,num_1|2|2|2|2|7,num_1|2|2|2|3|3|3,num_1|2|2|2|3|6,num_1|2|2|2|4|5,num_1|2|2|2|9,num_1|2|2|3|3|5,num_1|2|2|3|4|4,num_1|2|2|3|8,num_1|2|2|4|7,num_1|2|2|5|6,num_1|2|2|11,num_1|2|3|3|3|4,num_1|2|3|3|7,num_1|2|3|4|6,num_1|2|3|5|5,num_1|2|3|10,num_1|2|4|4|5,num_1|2|4|9,num_1|2|5|8,num_1|2|6|7,num_1|2|13,num_1|3|3|3|3|3,num_1|3|3|3|6,num_1|3|3|4|5,num_1|3|3|9,num_1|3|4|4|4,num_1|3|4|8,num_1|3|5|7,num_1|3|6|6,num_1|3|12,num_1|4|4|7,num_1|4|5|6,num_1|4|11,num_1|5|5|5,num_1|5|10,num_1|6|9,num_1|7|8,num_1|15,num_2|2|2|2|2|2|2|2,num_2|2|2|2|2|2|4,num_2|2|2|2|2|3|3,num_2|2|2|2|2|6,num_2|2|2|2|3|5,num_2|2|2|2|4|4,num_2|2|2|2|8,num_2|2|2|3|3|4,num_2|2|2|3|7,num_2|2|2|4|6,num_2|2|2|5|5,num_2|2|2|10,num_2|2|3|3|3|3,num_2|2|3|3|6,num_2|2|3|4|5,num_2|2|3|9,num_2|2|4|4|4,num_2|2|4|8,num_2|2|5|7,num_2|2|6|6,num_2|2|12,num_2|3|3|3|5,num_2|3|3|4|4,num_2|3|3|8,num_2|3|4|7,num_2|3|5|6,num_2|3|11,num_2|4|4|6,num_2|4|5|5,num_2|4|10,num_2|5|9,num_2|6|8,num_2|7|7,num_2|14,num_3|3|3|3|4,num_3|3|3|7,num_3|3|4|6,num_3|3|5|5,num_3|3|10,num_3|4|4|5,num_3|4|9,num_3|5|8,num_3|6|7,num_3|13,num_4|4|4|4,num_4|4|8,num_4|5|7,num_4|6|6,num_4|12,num_5|5|6,num_5|11,num_6|10,num_7|9,num_8|8,num_16
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,120,0,1,3,2,6,4,10,3,7,6,15,5,11,9,21,4,8,7,16,13,12,28,6,12,10,22,9,18,16,36,5,9,8,17,14,13,29,12,24,21,20,45,7,13,11,23,10,19,17,37,16,15,31,27,25,55,6,10,9,18,15,14,30,13,25,22,21,46,12,21,19,39,18,34,31,30,66,8,14,12,24,11,20,18,38,17,16,32,28,26,56,15,27,24,23,48,22,42,38,36,78,7,11,10,19,16,15,31,14,26,23,22,47,13,22,20,40,19,35,32,31,67,19,18,34,30,28,58,27,26,51,46,43,42,91,9,15,13,25,12,21,19,39,18,17,33,29,27,57,16,28,25,24,49,23,43,39,37,79,15,24,22,42,21,37,34,33,69,33,31,61,30,55,51,49,105,8,12,11,20,17,16,32,15,27,24,23,48,14,23,21,41,20,36,33,32,68,20,19,35,31,29,59,28,27,52,47,44,43,92,18,30,27,26,51,25,45,41,39,81,24,40,37,36,72,35,65,60,57,56,120
2,2,120,120,119,117,118,114,116,110,117,113,114,105,115,109,111,99,116,112,113,104,107,108,92,114,108,110,98,111,102,104,84,115,111,112,103,106,107,91,108,96,99,100,75,113,107,109,97,110,101,103,83,104,105,89,93,95,65,114,110,111,102,105,106,90,107,95,98,99,74,108,99,101,81,102,86,89,90,54,112,106,108,96,109,100,102,82,103,104,88,92,94,64,105,93,96,97,72,98,78,82,84,42,113,109,110,101,104,105,89,106,94,97,98,73,107,98,100,80,101,85,88,89,53,101,102,86,90,92,62,93,94,69,74,77,78,29,111,105,107,95,108,99,101,81,102,103,87,91,93,63,104,92,95,96,71,97,77,81,83,41,105,96,98,78,99,83,86,87,51,87,89,59,90,65,69,71,15,112,108,109,100,103,104,88,105,93,96,97,72,106,97,99,79,100,84,87,88,52,100,101,85,89,91,61,92,93,68,73,76,77,28,102,90,93,94,69,95,75,79,81,39,96,80,83,84,48,85,55,60,63,64,0
3,1,560,0,0,1,0,4,1,10,0,4,2,20,1,10,5,35,0,4,2,20,11,8,56,1,10,5,35,3,21,14,84,0,4,2,20,11,8,56,6,36,24,20,120,1,10,5,35,3,21,14,84,12,9,57,39,30,165,0,4,2,20,11,8,56,6,36,24,20,120,4,22,15,85,12,60,45,40,220,1,10,5,35,3,21,14,84,12,9,57,39,30,165,7,37,25,21,121,18,88,66,55,286,0,4,2,20,11,8,56,6,36,24,20,120,4,22,15,85,12,60,45,40,220,13,10,58,40,31,166,28,24,124,94,76,70,364,1,10,5,35,3,21,14,84,12,9,57,39,30,165,7,37,25,21,121,18,88,66,55,286,5,23,16,86,13,61,46,41,221,43,34,169,30,130,104,91,455,0,4,2,20,11,8,56,6,36,24,20,120,4,22,15,85,12,60,45,40,220,13,10,58,40,31,166,28,24,124,94,76,70,364,8,38,26,22,122,19,89,67,56,287,16,64,49,44,224,40,175,140,119,112,560
3,2,560,0,14,39,28,72,53,110,42,86,78,150,67,124,111,189,56,100,92,164,149,144,224,81,138,125,203,117,189,182,252,70,114,106,178,163,158,238,150,228,222,220,270,95,152,139,217,131,203,196,266,188,183,263,261,260,275,84,128,120,192,177,172,252,164,242,236,234,284,156,228,221,291,216,296,299,300,264,109,166,153,231,145,217,210,280,202,197,277,275,274,289,189,267,261,259,309,254,324,334,339,234,98,142,134,206,191,186,266,178,256,250,248,298,170,242,235,305,230,310,313,314,278,227,222,302,300,299,314,294,292,342,362,374,378,182,123,180,167,245,159,231,224,294,216,211,291,289,288,303,203,281,275,273,323,268,338,348,353,248,195,267,260,330,255,335,338,339,303,333,332,347,330,380,402,413,105,112,156,148,220,205,200,280,192,270,264,262,312,184,256,249,319,244,324,327,328,292,241,236,316,314,313,328,308,306,356,376,388,392,196,228,306,300,298,348,293,363,373,378,273,288,368,371,372,336,370,385,420,441,448,0
3,3,560,560,546,520,532,484,506,440,518,470,480,390,492,426,444,336,504,456,466,376,400,408,280,478,412,430,322,440,350,364,224,490,442,452,362,386,394,266,404,296,314,320,170,464,398,416,308,426,336,350,210,360,368,240,260,270,120,476,428,438,348,372,380,252,390,282,300,306,156,400,310,324,184,332,204,216,220,76,450,384,402,294,412,322,336,196,346,354,226,246,256,106,364,256,274,280,130,288,148,160,166,40,462,414,424,334,358,366,238,376,268,286,292,142,386,296,310,170,318,190,202,206,62,320,328,200,220,230,80,238,244,94,104,110,112,14,436,370,388,280,398,308,322,182,332,340,212,232,242,92,350,242,260,266,116,274,134,146,152,26,360,270,284,144,292,164,176,180,36,184,194,44,200,50,54,56,0,448,400,410,320,344,352,224,362,254,272,278,128,372,282,296,156,304,176,188,192,48,306,314,186,206,216,66,224,230,80,90,96,98,0,324,216,234,240,90,248,108,120,126,0,256,128,140,144,0,150,0,0,0,0,0
4,1,1820,0,0,0,0,1,0,5,0,1,0,15,0,5,1,35,0,1,0,15,5,2,70,0,5,1,35,0,15,6,126,0,1,0,15,5,2,70,1,35,16,10,210,0,5,1,35,0,15,6,126,5,2,70,36,20,330,0,1,0,15,5,2,70,1,35,16,10,210,0,15,6,126,3,71,40,30,495,0,5,1,35,0,15,6,126,5,2,70,36,20,330,1,35,16,10,210,7,127,75,50,715,0,1,0,15,5,2,70,1,35,16,10,210,0,15,6,126,3,71,40,30,495,5,2,70,36,20,330,17,11,211,131,85,70,1001,0,5,1,35,0,15,6,126,5,2,70,36,20,330,1,35,16,10,210,7,127,75,50,715,0,15,6,126,3,71,40,30,495,37,21,331,15,215,141,105,1365,0,1,0,15,5,2,70,1,35,16,10,210,0,15,6,126,3,71,40,30,495,5,2,70,36,20,330,17,11,211,131,85,70,1001,1,35,16,10,210,7,127,75,50,715,4,72,41,31,496,25,335,225,161,140,1820
4,2,1820,0,0,13,1,48,16,110,3,54,35,200,20,120,79,315,6,61,41,215,153,132,448,25,131,88,336,66,258,218,588,10,69,48,231,166,144,476,119,391,338,320,720,31,143,98,358,75,276,234,624,205,181,545,489,460,825,15,78,56,248,180,157,505,131,415,359,340,765,106,325,279,709,252,664,635,625,880,38,156,109,381,85,295,251,661,221,196,576,516,485,880,168,476,414,393,868,362,852,838,830,858,21,88,65,266,195,171,535,144,440,381,361,811,118,346,298,748,270,698,666,655,946,266,239,651,583,548,1003,512,488,1038,1058,1068,1071,728,46,170,121,405,96,315,269,699,238,212,608,544,511,936,183,503,438,416,916,384,894,876,866,936,155,401,349,839,319,779,741,728,1091,699,658,1203,630,1280,1328,1351,455,28,99,75,285,211,186,566,158,466,404,383,858,131,368,318,788,289,733,698,686,1013,285,257,685,613,576,1061,539,514,1089,1104,1111,1113,819,226,570,499,475,1025,441,991,965,951,1105,408,916,869,853,1324,820,1485,1595,1659,1680,0
4,3,1820,0,91,234,180,396,319,550,267,475,450,675,402,621,594,756,352,552,529,736,724,720,784,483,690,667,805,648,819,826,756,435,627,606,795,789,787,819,774,864,891,900,675,562,757,738,852,721,874,885,775,880,882,850,900,925,550,516,700,681,852,852,852,852,841,907,940,951,676,828,945,964,774,972,844,886,900,396,639,822,807,897,792,927,942,792,939,943,879,937,966,531,936,954,999,1014,639,1030,720,774,801,234,595,771,754,907,913,915,883,906,948,987,1000,675,895,994,1017,787,1027,867,915,931,355,1018,1026,898,972,1009,454,1035,1056,531,586,619,630,91,714,885,874,940,861,978,997,807,996,1002,906,972,1005,510,997,991,1042,1059,634,1077,727,789,820,169,990,1053,1084,774,1098,874,934,954,234,972,1021,286,1050,325,351,364,0,672,840,825,960,972,976,912,969,987,1032,1047,672,960,1041,1068,798,1080,888,942,960,312,1071,1081,921,1003,1044,429,1072,1095,520,585,624,637,0,1080,1026,1089,1110,585,1132,702,780,819,0,1152,832,910,936,0,975,0,0,0,0,0
4,4,1820,1820,1729,1573,1639,1375,1485,1155,1550,1290,1335,930,1398,1074,1146,714,1462,1206,1250,854,938,966,518,1312,994,1064,644,1106,728,770,350,1375,1123,1166,779,860,887,455,926,530,575,590,215,1227,915,983,575,1024,655,695,295,730,755,355,395,415,115,1289,1041,1083,705,783,809,393,847,463,505,519,169,886,535,571,211,593,241,259,265,49,1143,837,903,507,943,583,621,241,655,679,295,331,349,79,715,355,391,403,103,421,121,133,139,13,1204,960,1001,632,707,732,332,769,397,436,449,124,807,465,499,159,520,184,199,204,24,531,553,201,229,243,33,256,265,40,45,48,49,0,1060,760,824,440,863,512,548,188,581,604,236,268,284,44,639,291,324,335,60,352,72,80,84,0,675,351,381,81,400,96,105,108,0,112,120,0,125,0,0,0,0,1120,880,920,560,632,656,272,692,332,368,380,80,729,396,428,108,448,128,140,144,0,459,480,144,168,180,0,192,200,0,0,0,0,0,513,189,216,225,0,240,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0
