theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1,num_1|1|1|1|2,num_1|1|1|3,num_1|1|2|2,num_1|1|4,num_1|2|3,num_1|5,num_2|2|2,num_2|4,num_3|3,num_6
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,15,0,1,3,2,6,4,10,3,7,6,15
2,2,15,15,14,12,13,9,11,5,12,8,9,0
3,1,20,0,0,1,0,4,1,10,0,4,2,20
3,2,20,0,4,9,8,12,13,10,12,16,18,0
3,3,20,20,16,10,12,4,6,0,8,0,0,0
4,1,15,0,0,0,0,1,0,5,0,1,0,15
4,2,15,0,0,3,1,8,6,10,3,14,15,0
4,3,15,0,6,9,10,6,9,0,12,0,0,0
4,4,15,15,9,3,4,0,0,0,0,0,0,0
5,1,6,0,0,0,0,0,0,1,0,0,0,6
5,2,6,0,0,0,0,2,1,5,0,6,6,0
5,3,6,0,0,3,2,4,5,0,6,0,0,0
5,4,6,0,4,3,4,0,0,0,0,0,0,0
5,5,6,6,2,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,0,0,0,0,0,0,1
6,2,1,0,0,0,0,0,0,1,0,1,1,0
6,3,1,0,0,0,0,1,1,0,1,0,0,0
6,4,1,0,0,1,1,0,0,0,0,0,0,0
6,5,1,0,1,0,0,0,0,0,0,0,0,0
6,6,1,1,0,0,0,0,0,0,0,0,0,0
