theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|2,num_1|1|1|1|1|3,num_1|1|1|1|2|2,num_1|1|1|1|4,num_1|1|1|2|3,num_1|1|1|5,num_1|1|2|2|2,num_1|1|2|4,num_1|1|3|3,num_1|1|6,num_1|2|2|3,num_1|2|5,num_1|3|4,num_1|7,num_2|2|2|2,num_2|2|4,num_2|3|3,num_2|6,num_3|5,num_4|4,num_8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,28,0,1,3,2,6,4,10,3,7,6,15,5,11,9,21,4,8,7,16,13,12,28
2,2,28,28,27,25,26,22,24,18,25,21,22,13,23,17,19,7,24,20,21,12,15,16,0
3,1,56,0,0,1,0,4,1,10,0,4,2,20,1,10,5,35,0,4,2,20,11,8,56
3,2,56,0,6,15,12,24,21,30,18,30,30,30,27,36,39,21,24,36,36,36,45,48,0
3,3,56,56,50,40,44,28,34,16,38,22,24,6,28,10,12,0,32,16,18,0,0,0,0
4,1,70,0,0,0,0,1,0,5,0,1,0,15,0,5,1,35,0,1,0,15,5,2,70
4,2,70,0,0,5,1,16,8,30,3,22,19,40,12,40,39,35,6,29,25,55,65,68,0
4,3,70,0,15,30,28,36,39,30,39,39,42,15,46,25,30,0,48,40,45,0,0,0,0
4,4,70,70,55,35,41,17,23,5,28,8,9,0,12,0,0,0,16,0,0,0,0,0,0
5,1,56,0,0,0,0,0,0,1,0,0,0,6,0,1,0,21,0,0,0,6,1,0,56
5,2,56,0,0,0,0,4,1,15,0,8,6,30,2,25,22,35,0,12,8,50,55,56,0
5,3,56,0,0,10,4,24,18,30,12,32,32,20,30,30,34,0,24,44,48,0,0,0,0
5,4,56,0,20,30,32,24,31,10,36,16,18,0,24,0,0,0,32,0,0,0,0,0,0
5,5,56,56,36,16,20,4,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,28
6,2,28,0,0,0,0,0,0,3,0,1,1,12,0,8,7,21,0,2,1,27,28,28,0
6,3,28,0,0,0,0,6,3,15,1,13,12,15,9,20,21,0,4,26,27,0,0,0,0
6,4,28,0,0,10,6,16,16,10,15,14,15,0,19,0,0,0,24,0,0,0,0,0,0
6,5,28,0,15,15,18,6,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,28,28,13,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
7,2,8,0,0,0,0,0,0,0,0,0,0,2,0,1,1,7,0,0,0,8,8,8,0
7,3,8,0,0,0,0,0,0,3,0,2,2,6,1,7,7,0,0,8,8,0,0,0,0
7,4,8,0,0,0,0,4,3,5,2,6,6,0,7,0,0,0,8,0,0,0,0,0,0
7,5,8,0,0,5,4,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,8,0,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
8,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
8,4,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
8,5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
