theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|3,num_1|1|1|1|1|2|2,num_1|1|1|1|1|4,num_1|1|1|1|2|3,num_1|1|1|1|5,num_1|1|1|2|2|2,num_1|1|1|2|4,num_1|1|1|3|3,num_1|1|1|6,num_1|1|2|2|3,num_1|1|2|5,num_1|1|3|4,num_1|1|7,num_1|2|2|2|2,num_1|2|2|4,num_1|2|3|3,num_1|2|6,num_1|3|5,num_1|4|4,num_1|8,num_2|2|2|3,num_2|2|5,num_2|3|4,num_2|7,num_3|3|3,num_3|6,num_4|5,num_9
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,36,0,1,3,2,6,4,10,3,7,6,15,5,11,9,21,4,8,7,16,13,12,28,6,12,10,22,9,18,16,36
2,2,36,36,35,33,34,30,32,26,33,29,30,21,31,25,27,15,32,28,29,20,23,24,8,30,24,26,14,27,18,20,0
3,1,84,0,0,1,0,4,1,10,0,4,2,20,1,10,5,35,0,4,2,20,11,8,56,1,10,5,35,3,21,14,84
3,2,84,0,7,18,14,30,25,40,21,37,36,45,32,47,48,42,28,44,43,52,58,60,28,39,54,55,49,54,63,70,0
3,3,84,84,77,65,70,50,58,34,63,43,46,19,51,27,31,7,56,36,39,12,15,16,0,44,20,24,0,27,0,0,0
4,1,126,0,0,0,0,1,0,5,0,1,0,15,0,5,1,35,0,1,0,15,5,2,70,0,5,1,35,0,15,6,126
4,2,126,0,0,6,1,20,9,40,3,26,21,60,13,50,44,70,6,33,27,75,76,76,56,18,61,53,91,45,111,120,0
4,3,126,0,21,45,40,60,60,60,57,69,72,45,73,61,69,21,72,76,81,36,45,48,0,84,60,72,0,81,0,0,0
4,4,126,126,105,75,85,45,57,21,66,30,33,6,40,10,12,0,48,16,18,0,0,0,0,24,0,0,0,0,0,0,0
5,1,126,0,0,0,0,0,0,1,0,0,0,6,0,1,0,21,0,0,0,6,1,0,56,0,1,0,21,0,6,1,126
5,2,126,0,0,0,0,5,1,20,0,9,6,45,2,30,23,70,0,13,8,65,60,58,70,3,40,28,105,18,120,125,0
5,3,126,0,0,15,5,40,26,60,15,54,51,60,42,70,73,35,30,73,73,55,65,68,0,63,85,98,0,108,0,0,0
5,4,126,0,35,60,60,60,70,40,75,55,60,15,70,25,30,0,80,40,45,0,0,0,0,60,0,0,0,0,0,0,0
5,5,126,126,91,51,61,21,29,5,36,8,9,0,12,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,28,0,0,0,7,0,1,0,84
6,2,84,0,0,0,0,0,0,4,0,1,1,18,0,9,7,42,0,2,1,33,29,28,56,0,14,8,77,3,83,84,0
