partition,sum_product_mistake_indices
1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,87178291200
1|1|1|1|1|1|1|1|1|1|1|1|1|2,1220496076800
1|1|1|1|1|1|1|1|1|1|1|1|3,937030429440
1|1|1|1|1|1|1|1|1|1|1|2|2,6059163640320
1|1|1|1|1|1|1|1|1|1|1|4,544873631616
1|1|1|1|1|1|1|1|1|1|2|3,7430249731968
1|1|1|1|1|1|1|1|1|1|5,233884371216
1|1|1|1|1|1|1|1|1|2|2|2,13603156743168
1|1|1|1|1|1|1|1|1|2|4,3420881864400
1|1|1|1|1|1|1|1|1|3|3,1913390019600
1|1|1|1|1|1|1|1|1|6,74162765536
1|1|1|1|1|1|1|1|2|2|3,19485594137904
1|1|1|1|1|1|1|1|2|5,1152239463584
1|1|1|1|1|1|1|1|3|4,1471608601472
1|1|1|1|1|1|1|1|7,17499398776
1|1|1|1|1|1|1|2|2|2|2,14502205041408
1|1|1|1|1|1|1|2|2|4,6859759117376
1|1|1|1|1|1|1|2|3|3,7720198502656
1|1|1|1|1|1|1|2|6,282478116752
1|1|1|1|1|1|1|3|5,413722754776
1|1|1|1|1|1|1|4|4,233175095512
1|1|1|1|1|1|1|8,3090075848
1|1|1|1|1|1|2|2|2|3,20635337725504
1|1|1|1|1|1|2|2|5,1730319768264
1|1|1|1|1|1|2|3|4,4449109442088
1|1|1|1|1|1|2|7,50382990616
1|1|1|1|1|1|3|3|3,844325181184
1|1|1|1|1|1|3|6,84261378112
1|1|1|1|1|1|4|5,107233773616
1|1|1|1|1|1|9,408622073
1|1|1|1|1|2|2|2|2|2,7008332608512
1|1|1|1|1|2|2|2|4,5232681679160
1|1|1|1|1|2|2|3|3,8881552591080
1|1|1|1|1|2|2|6,308294386872
1|1|1|1|1|2|3|5,908136140000
1|1|1|1|1|2|4|4,512785006832
1|1|1|1|1|2|8,6511514235
1|1|1|1|1|3|3|4,591918476440
1|1|1|1|1|3|7,12337875532
1|1|1|1|1|4|6,17672030814
1|1|1|1|1|5|5,9918316949
1|1|1|1|1|10,40210458
1|1|1|1|2|2|2|2|3,8571403188616
1|1|1|1|2|2|2|5,910760898608
1|1|1|1|2|2|3|4,3534145089944
1|1|1|1|2|2|7,38246833290
1|1|1|1|2|3|3|3,1347251442712
1|1|1|1|2|3|6,128495393556
1|1|1|1|2|4|5,163870314080
1|1|1|1|2|9,602051370
1|1|1|1|3|3|5,95826847148
1|1|1|1|3|4|4,108699583483
1|1|1|1|3|8,1281102858
1|1|1|1|4|7,2053531392
1|1|1|1|5|6,2574812538
1|1|1|1|11,2898183
1|1|1|2|2|2|2|2|2,1309775667584
1|1|1|2|2|2|2|4,1397142268872
1|1|1|2|2|2|3|3,3177418659216
1|1|1|2|2|2|6,105074589068
1|1|1|2|2|3|5,466725515758
1|1|1|2|2|4|4,264002830344
1|1|1|2|2|8,3220706874
1|1|1|2|3|3|4,611538355688
1|1|1|2|3|7,12246883776
1|1|1|2|4|6,17573265966
1|1|1|2|5|5,9868704906
1|1|1|2|10,38754042
1|1|1|3|3|3|3,58793580746
1|1|1|3|3|6,10395269574
1|1|1|3|4|5,26659076586
1|1|1|3|9,91817508
1|1|1|4|4|4,5070689162
1|1|1|4|8,163606883
1|1|1|5|7,227860986
1|1|1|6|6,126902281
1|1|1|12,148436
1|1|2|2|2|2|2|3,1114777302840
1|1|2|2|2|2|5,141345636909
1|1|2|2|2|3|4,735444736730
1|1|2|2|2|7,7629354104
1|1|2|2|3|3|3,422230353336
1|1|2|2|3|6,38610403494
1|1|2|2|4|5,49338791298
1|1|2|2|9,175110339
1|1|2|3|3|5,57852965448
1|1|2|3|4|4,65723668050
1|1|2|3|8,747217858
1|1|2|4|7,1199425766
1|1|2|5|6,1504887070
1|1|2|11,1647520
1|1|3|3|3|4,25548092018
1|1|3|3|7,716464278
1|1|3|4|6,2066699490
1|1|3|5|5,1162650896
1|1|3|10,4311672
1|1|4|4|5,1335594533
1|1|4|9,8482188
1|1|5|8,13043966
1|1|6|7,16075202
1|1|13,5111
1|2|2|2|2|2|2|2,61503864832
1|2|2|2|2|2|4,87890594133
1|2|2|2|2|3|3,250974555557
1|2|2|2|2|6,7935456586
1|2|2|2|3|5,47231843402
1|2|2|2|4|4,26760945194
1|2|2|2|8,314375801
1|2|2|3|3|4,93275709312
1|2|2|3|7,1799091334
1|2|2|4|6,2586072250
1|2|2|5|5,1453108797
1|2|2|10,5535604
1|2|3|3|3|3,17995796740
1|2|3|3|6,3065732598
1|2|3|4|5,7876181486
1|2|3|9,26285208
1|2|4|4|4,1499920499
1|2|4|8,46885718
1|2|5|7,65335014
1|2|6|6,36393368
1|2|12,41539
1|3|3|3|5,1547398000
1|3|3|4|4,2646537663
1|3|3|8,28237330
1|3|4|7,91052346
1|3|5|6,114496804
1|3|11,119224
1|4|4|6,66182116
1|4|5|5,74668776
1|4|10,257257
1|5|9,434226
1|6|8,588445
1|7|7,325039
1|14,106
2|2|2|2|2|2|3,19741169323
2|2|2|2|2|5,2878220982
2|2|2|2|3|4,18818425302
2|2|2|2|7,187635591
2|2|2|3|3|3,14458834930
2|2|2|3|6,1271239916
2|2|2|4|5,1627602522
2|2|2|9,5590156
2|2|3|3|5,2869688290
2|2|3|4|4,3264782221
2|2|3|8,35874010
2|2|4|7,57664464
2|2|5|6,72397416
2|2|11,77181
2|3|3|3|4,2545062890
2|3|3|7,69003730
2|3|4|6,199364128
2|3|5|5,112213500
2|3|10,404650
2|4|4|5,129029628
2|4|9,796653
2|5|8,1225575
2|6|7,1510652
2|13,470
3|3|3|3|3,148329225
3|3|3|6,39554460
3|3|4|5,153144320
3|3|9,483120
3|4|4|4,58505216
3|4|8,1729805
3|5|7,2415700
3|6|6,1346598
3|12,1470
4|4|7,1404403
4|5|6,3545178
4|11,3458
5|5|5,668850
5|10,6370
6|9,9438
7|8,11440
15,1
