partition,sum_product_mistake_indices
1|1|1|1|1|1|1|1|1|1|1,3628800
1|1|1|1|1|1|1|1|1|2,36288000
1|1|1|1|1|1|1|1|3,25659360
1|1|1|1|1|1|1|2|2,111977280
1|1|1|1|1|1|1|4,12905784
1|1|1|1|1|1|2|3,114934392
1|1|1|1|1|1|5,4496284
1|1|1|1|1|2|2|2,128152512
1|1|1|1|1|2|4,40881364
1|1|1|1|1|3|3,23106260
1|1|1|1|1|6,1079354
1|1|1|1|2|2|3,133038428
1|1|1|1|2|5,9708040
1|1|1|1|3|4,12619902
1|1|1|1|7,177299
1|1|1|2|2|2|2,50347104
1|1|1|2|2|4,29978466
1|1|1|2|3|3,34107936
1|1|1|2|6,1496192
1|1|1|3|5,2240523
1|1|1|4|4,1271477
1|1|1|8,19526
1|1|2|2|2|3,39805870
1|1|2|2|5,4096239
1|1|2|3|4,10724335
1|1|2|7,142942
1|1|3|3|3,2058226
1|1|3|6,245095
1|1|4|5,315453
1|1|9,1376
1|2|2|2|2|2,4589056
1|2|2|2|4,4287851
1|2|2|3|3,7359949
1|2|2|6,305000
1|2|3|5,918853
1|2|4|4,522469
1|2|8,7666
1|3|3|4,609982
1|3|7,14917
1|4|6,21669
1|5|5,12216
1|10,56
2|2|2|2|3,1448469
2|2|2|5,188056
2|2|3|4,743259
2|2|7,9438
2|3|3|3,286605
2|3|6,32516
2|4|5,41943
2|9,176
3|3|5,24805
3|4|4,28336
3|8,385
4|7,627
5|6,792
11,1
